,"Minnie","Penny","Ash","Peep","Indy","Charlie","Studley","Honey","Taffy","Carrie","Chardonnay","Millie",,"expense","unit","Minnie AM","Minnie PM","Penny AM","Penny PM","Ash AM","Ash PM","Peep AM","Peep PM","Indy AM","Indy PM","Charlie AM","Charlie PM","Studley AM","Studley PM","Honey AM","Honey PM","Taffy AM","Taffy PM","Carrie AM","Carrie PM","Chardonnay AM","Chardonnay PM","Millie AM","Millie PM"
,"Mare Magic",$67.49,32,,0.2,,,,,$0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Thyro-L",$198.95,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"MSM",$39.99,5,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Aloe Vera",$6.92,128,,,1.3,,,,,$0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Corn Oil",$15.00,128,,,1.3,,,,,$0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Corta Flx",34.99,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bedding and Other Supplies",,"Cost Per Bale/Truckload","Usage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Shavings",$300.00,"$300 per truck; 1 load = 71 yards; wheelbarrow load=1/10 of a yard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Straw",$3.00,"one bale per stall per week",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Horse Winter buckets",$90.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Water heater",$48.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Water bucket",$22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
